Total unknown suffix patterns: 2748
Modification types in DB: 153
Precision classes in DB: 12

3S\t223\tKR16FXLL/3AS, HMK2218L/3AS, KRV16FLL/3AS, KRV26FLL/3AS, KRV19FLL/3AS
U14\t9\tUC214D1, UC214, UC314G2, UC214-44G2, UC214G2
FC\t9\tFCB-12, FCB-16, FCB-20, FCB-25, FCBL-8-K
U10\t9\tUC210, SS-UC210, UC210-30G2, UC210G2, UC310G2
RV1VSUP3\t9\t7909A5TRV1VSULP3, 7006A5TRV1VSULP3, 7010A5TRV1VSULP3, 7016A5TRV1VSULP3, 7021A5TRV1VSULP3
CD4\t8\t23020CDE4C3S11, 21305CDKE4C3S11, 21307CDKE4C3S11, 22228CDE4C3S11, 23028CDE4C3S11
U306\t8\tNU306ETC3, NU306M, NU306ET, NU306EW, NU306
F6\t8\tF6-14, F6-14M, F6-12M, LMF6UU, F6-14G
U310\t8\tNU310M, NU310, NU310C3, NU310EWC3, NU310M/C3
V10\t8\tNATV10/3AS, NATV10LL/3AS, NATV10XLL/3AS, NATV10-2RS, NATV10-2RS-X
I17\t8\tNKI17/20, NKI17/16, NKXI17Z
G12\t8\t32TAG12, 35TAG12, 28TAG12, 25TAG12, 40TAG12
H804810\t8\t4T-HM804840/HM804810, 4T-HM804846/HM804810, 4T-HM804848/HM804810, HM804843/HM804810, HM804848/HM804810
H2520\t8\tHK2520, HMK2520, HK2520LL/3AS, HK2520-2RS
H2020\t8\tHMK2020, HK2020-2RS, HK2020B, HK2020
U03\t8\tUC203, UC203/15, UC203-11G2, UC203G2, UC203D1
S20\t8\tNAST20ZZ, NKS20, NAST20, STO20, STO20X
V8\t8\tNATV8, NATV8/3AS, NATV8X/3AS, NATV8LL/3AS, NATV8XLL/3AS
V15\t8\tNATV15-2RS, NATV15/3AS, NATV15X/3AS, NATV15LL/3AS, NATV15XLL/3AS
R47\t8\tNUKR47-X, KR47XLL/3AS, NUKR47/3AS, NUKR47X/3AS, KR47
R17\t8\tNATR17XLL/3AS, NATR17X, NATR17-2RS, NATR17-X, NATR17-2RS-X
U06\t8\tUC306D1, UC306-18G2, UC306-19G2, UC306G2, MUC206-19FD
H89410\t8\t4T-HM89449/HM89410, 4T-HM89448/HM89410, 4T-HM89443/HM89410, EQ-HM89449/HM89410, HM89449/HM89410
RV16\t8\tKRV16, KRV16-2RS-SK, KRV16-SK, KRV16-X, KRV16-2RS
U212\t8\tNU212EW, NU212, NU212C3, UEL212, NU212EM
H807010\t7\t4T-HM807044/HM807010, HM807048/HM807010, HM807046/HM807010, HM807049/HM807010, 4T-HM807046/HM807010
201*\t7\t608-H-20T1XZZMC3*MA, 6003-H-20T1XDDU*MA, 6001-H-20T1XDDU*MA, 6000-H-20T1XZZ*MA, 6007-H-20T1XDDU*MA
F604\t7\tF604ZZ, 6004F604, F604-2Z, 6204F604, 6206F604
U2309\t7\tNU2309M, NU2309C3, NU2309EW, NU2309ETN, NU2309
U305\t7\tNU305M, NU305ET, NU305EWC3, NU305EG15, UEL305
R4905\t7\tRNA4905L/3AS, RNA4905, RNA4905UU, RNA4905LL/3AS, RNA4905-2RSR-XL
UR30\t7\tNUTR30-X, NUTR30, NURT30-1R, NURT30X, NURT30-1X
R72\t7\tMR72-2Z, KR72LL/3AS, KR72, KR72PP, NUKR72
S15\t7\tNAST15ZZ, NAST15, STO15, STO15X, NAST15ZZUU
S40\t7\tNAST40ZZ, NKS40, STO40ZZ, NAST40, STO40
R49\t7\tRNA49/32, RNA49/32R, RNA49/22-2RS, RNA49/28, RNA49/22
R4903\t7\tRNA4903, RNA4903LL/3AS, RNA4903A-2RS, RNA4903-2RS
R69\t7\tRNA69/32, RNA69/22R, RNA69/32R, RNA69/28R, RNA69/28
V6\t7\tNATV6PP/EQ, NATV6-2RS, NATV6/3AS, NATV6XLL/3AS, NATV6-2RS-X
H1010\t7\tHK1010, HMK1010, HK1010-B, HK1010E
H1816\t7\tHK1816LL/3AS, HK1816, HK1816-2RS
H2216\t7\tHK2216LL/3AS, HK2216-C, HK2216, HK2216-2RS
H2820\t7\tHK2820, HK2820LL/3AS, HMK2820, HK2820-2RS
H20\t7\tHK3020LL/3AS, HK3020, HC320/28JR, HK3020-2RS
H4020\t7\tHK4020, HK4020LL/3AS, 7E-HMK4020, HK4020-2RS
H2030\t7\tHMK2030, KH2030LL/3AS, KH2030, HK2030, KH2030PP
H4520\t7\tHMK4520, HK4520LL/3AS, HK4520, HK4520B, HK4520-2RS
S204\t7\tAS204-12, AS204-012D1, AS204, C-AS204, C-AS204-12
RV30\t7\tKRV30PP/EQ, KRV30, KRV30-2RS-X, KRV30-X, KRV30/3AS
UR25\t7\tNUTR25-X, NUTR25, NURT25-1R, NURT25-1X, NURT25X
H1516\t7\tHK1516LL/3AS, HK1516B, HK1516, HK1516-2RS, HK1516-B
R80\t7\tKR80LL/3AS, KR80XLL/3AS, KR80, KR80PP, NUKR80
U307\t7\tU307, NU307ETC3, NU307, NU307EG15, UEL307
H1012\t7\tHMK1012L/3AS, HK1012, HK1012-B, HK1012-RS, HMK1012-RS
U2205\t7\tNU2205, NU2205M, NU2205ETN, NU2205ETN/C3, NU2205ETN/EQ
RR\t7\t203-XL-KRR-AH05, 208-XL-KRR, 210-XL-KRR, 205-XL-KRR, 206-XL-KRR
S25\t7\tNAST25ZZ, NAST25, STO25, STO25X, NKS25
R19\t7\tKR19, KR19-X, KR19-2RS-X, KR19PP, KR19PPX/EQ
CVU\t7\t7002CVUJ74, 7004CVUJ74, 7009CVUJ74, 7011CVUJ74, 71901CVUJ74
H0810\t6\tHK0810-RS-FPM-B-L271, HK0810, HK0810-RS
R3\t6\tR3ZZ, R3, R3AZZ, R3-2Z
F7\t6\tF7-17, F7-17M, F7-17G, F7-13M, F7-15M
U2305\t6\tNU2305, NU2305ET2XC3, NU2305EG15, NU2305ETN, NU2305EW/C3
U2308\t6\tNU2308M, NU2308ETVP, NU2308EG15, NU2308, NU2308ETN
U309\t6\tNU309M, NU309, UEL309, NU309ETN, NU309ETN/C3
UP208\t6\tNUP208M, NUP208ETC3, NUP208EW, NUP208, NUP208ETN
SC\t6\t5203SCZZ/2AS, 5204SCZZ/5K, 5307SCZZ/2AS, 5208SCZZ/2AS, 5200SCZZ/2AS
V1\t6\t4T-LM11949/LM11910V1, SX04A34V1, K12X15X13V1, K20X28X25V1, NATV12X/3AS
R4907\t6\tRNA4907L/3AS, RNA4907, RNA4907LL/3AS, RNA4907-2RS
R4901\t6\tRNA4901-2RSR-XL, RNA4901, RNA4901UU, RNA4901L/3AS, RNA4901-2RS
C>V\t6\t6303-C>V, 6304-C>V, 6005-C>V, 6004-C>V, 6202-C>V
I22\t6\tNKI22/16, NKI22/20
H801346\t6\tHM801346/10, 4T-HM801346X/HM8#01, 4T-HM801346X/HM801310, 4T-HM801346/HM801310, HM801346/HM801310
2DCS\t6\t45BG07S5A1G-2DLCS, 35BG5220-2DLCS, 35BG05S7G-2DLCS, 40BG05S2-2DLCS, 35BG05S16G-2DLCS
R1\t6\tNART12UUX, NATR12XLL/3AS, R1-5-2Z, NART12X, NATR12PPX/EQ
I10\t6\tNKI10/16, NKI10/20
I38\t6\tNKI38/30, NKI38/20
I55\t6\tNKI55/25, NKI55/35
I70\t6\tNKI70/35, NKI70/25
I80\t6\tNKI80/25, NKI80/35
H803149\t6\tHM803149/12, HM803149/HM803110, HM803149/10, HM803149/HM803111, HM803149/HM803112
H2220\t6\tHK2220LL/3AS, HMK2220, HK2220, HK2220-2RS
H2516\t6\tHK2516, HK2516LL/3AS, HK2516-2RS
H3512\t6\tHK3512, HMK3512, HK3512B
H3520\t6\tHK3520LL/3AS, HK3520, HK3520-2RS
S01\t6\tAB12405S01, AB40285S01, AB40361S01, SL01-4912, SL01-4914
U16\t6\tUC216, UC316D1, UC316G2, UC316
R5201\t6\tKR5201-2RS, LR5201-2Z-TVH-XL, LR5201-2HRS-TVH-XL, LR5201-2Z, LR5201-2RS
R4908\t6\tRNA4908UU, RNA4908L/3AS, RNA4908LL/3AS, RNA4908, RNA4908-2RS
R4909\t6\tRNA4909UU, RNA4909LL/3AS, RNA4909-2RSR-XL, RNA4909, RNA4909-2RS
I90\t6\tNKI90/26, NKI90/36
H89449\t6\tHM89449-99401, 4T-HM89449/HM89410, EQ-HM89449/HM89410, HM89449/HM89410, HM89449/10
S206\t6\tAS206, AS206-18, AS206-19, AS206-20, C-AS206-20
S207\t6\tAS207-22, AS207-23, M-AS207D1, AS207, C-AS207
U214\t6\tUEL214, NU214, NU214M, NU214ETN, NU214EW
S6\t6\tNAST6ZZ, STO6, STO6ZZ, NAST6, STO6TN
U05\t6\tUC305, UC305-14G2, UC305-15G2, UC305G2
H1416\t6\tHK1416, HK1416LL/5S, HK1416-2RS
H1512\t6\tHK1512, HMK1512
UR35\t6\tNUTR35, NUTR35-X, NURT35X, NURT35-1R, NURT35-1X
UR40\t6\tNUTR40, NUTR40-X, NURT40-1R, NURT40-1X, NURT40X
UR50\t6\tNUTR50-X, NUTR50, NURT50-1R, NURT50-1X
V25\t6\tNATV25/3AS, NATV25XLL/3AS, NATV25LL/3AS, NATV25-2RS, NATV25-2RS-X
U2206\t6\tNU2206, NU2206ETC3, NU2206EW/C3, NU2206ETN/EQ
H803110\t6\tHM803145/HM803110, 4T-HM803145/HM803110, 4T-HM803146/HM803110, HM803146/HM803110, HM803149/HM803110
S10\t6\tSTO10, NAST10, STO10X, STO10X-2Z, STO10-2Z
U2210\t6\tNU2210, NU2210C3, NU2210EW, NU2210ETN, NU2210EW/C3
U216\t6\tNU216EW, NU216, UEL216, NU216ETN, NU216EM/C3
UP207\t6\tNUP207EW, NUP207EG15, NUP207ETN, NUP207M, NUP207EM
U206\t6\tNU206M, UEL206D1W3, U206, NU206ETN/C3, NU206EW/C3
S17\t6\tNAST17, STO17, STO17X, NAST17ZZUU, STO17X-2Z
SG\t6\tLB3204B-2RSRSTNG, LB3201B-2RSRSTNG, LB3207B-2RSRSTNG, LZ3201B-2RSRSTNG, LZ3202B-2RSRSTNG
C209\t6\tCES209, CES209-26, CES209-27, CES209-28, CEX209
U314\t6\tUEL314, NU314ETN, NU314EM, NU314EW/C3, NU314C3
HS320°\t5\t6001BHTS320°-350°, 6306BHTS320°-350°, 6314BHTS320°-350°, 6205BHTS320°-350°, 6201BHTS320°-350°
H813810\t5\t4T-HM813849/HM813810, 4T-HM813846/HM813810, HM813841/HM813810, HM813842/HM813810, 4T-HM813840/HM813810
U2209\t5\tNU2209M, NU2209ETVP, NU2209ETC3, NU2209EW, NU2209ETN
U2213\t5\tNU2213M, NU2213ETN, NU2213ETVP, NU2213C3, NU2213ETN/C3
V5\t5\tNATV5X/3AS, NATV5/3AS, NATV5-2RS, NATV5XLL/3AS, NATV5-2RS-X
F4\t5\tF4-10G, F4-9M, F4-9G, F4-10M
I35\t5\tNKI35/30, NKI35/20
S8\t5\tNAST8, NAST8ZZ, STO8ZZ, STO8TN, STO8TNX
I12\t5\tNKI12/16, NKI12/20
I15\t5\tNKI15/20, NKI15/16
I28\t5\tNKI28/20, NKI28/30
I42\t5\tNKI42/20, NKI42/30
I45\t5\tNKI45/25, NKI45/35
I6\t5\tNKI6/12, NKI6/16TN, NKI6/16
R4900\t5\tRNA4900UU, RNA4900-RS, RNA4900L/3AS, RNA4900, RNA4900-2RS
H0912\t5\tHK0912, HK0912-B
H1712\t5\tHK1712
H1812\t5\tHK1812, HK1812-B
H2016\t5\tHK2016, HK2016LL/3AS, HK2016-2RS
H2018\t5\tHK2018L/3AS, HK2018-RS, HK2018
H2212\t5\tHK2212, HK2212-RS
H2512\t5\tHK2512, HK2512B
H12\t5\tHK3012, HK3012B
I30\t5\tNKI30/30, NKI30/20
I40\t5\tNKI40/30, NKI40/20
S205\t5\tAS205-14, AS205-15, AS205-16, C-AS205, C-AS205-16
S208\t5\tAS208, AS208-24, M-AS208D1, C-AS208, AS208/EQ
U308\t5\tNU308EW, UEL308, NU308ETN, NU308ETN/C3, NU308C3
I75\t5\tNKI75/35, NKI75/25
V50\t5\tNATV50X/3AS, NATV50LL/3AS, NATV50XLL/3AS, NATV50-2RS, NATV50-2RS-X
V20\t5\tNATV20, NATV20-2RS, NATV20/3AS, NATV20LL/3AS, NATV20-2RS-X
UR45\t5\tNUTR45, NUTR45-X, NURT45X, NURT45-1X
UP209\t5\tNUP209ET, NUP209EG15, NUP209ETN, NUP209EW, NUP209
R90\t5\tKR90XLL/3AS, KR90, KR90PP, NUKR90, NUKR90-X
V12\t5\tNATV12LL/3AS, NATV12-PP-A, NATV12-2RS-X, NATV12-2RS-R, NATV12
U203\t5\tU203, NU203M, UEL203, NU203
H0509\t5\tHK0509-B, HK0509
YC\t5\tYCRS-36, YCRS-12, YCRS-14, YCRS-24, YCRS-28
H2012\t5\tHK2012-B, HK2012, HK2012-RS
F5\t5\tF5-12M, F5-12G, F5-10M, F5-11M
U320\t5\tNU320, UEL320, NU320/C3, NU320EM, NU320C3
H803146\t5\t4T-HM803146/HM803110, HM803146/HM803110, HM803146-99404, HM803146/10, HM803146/2/110/2/CL7C
S35\t5\tNAST35ZZ, NAST35, STO35, STO35X, NKS35
I25\t5\tNKI25/30, NKI25/20
I100\t5\tNKI100/30, NKI100/40
RR2\t5\t205KRR2, 204KRR2, 205KRRB2, 209KRRB2, 203KRR2
CG1U\t5\t7201CG1UJ74, 7202CG1UJ74, 7206CG1UJ74, 7211CG1UJ74, 7216CG1UJ74
YR\t5\t60951YRX, 61221YRX, 61235YRX, 61617-25YRX, 61051YRX
I65\t5\tNKI65/35, NKI65/25
I85\t5\tNKI85/36, NKI85/26
RV22\t5\tKRV22, KRV22-X, KRV22-2RS-X, KRV22-2RSR, KRV22PP/EQ
H2218\t4\tHMK2218L/3AS, HK2218L/3AS, HK2218-RS
RV32\t4\tKRV32-SK, KRV32, KRV32-2RS, KRV32-2RS-X
R14\t4\tR14-2RS, R14ZZ, R14-2Z
R144\t4\tR144ZZ, R144-2Z, SS-R144, SS-R144-2Z
F606\t4\tF606ZZ, F606-2Z, F606
F683\t4\tF683ZZ, F683, F683-2Z, SS-F683-2Z
F128\t4\tMF128ZZ, MF128, MF128-2Z
F10\t4\tF10-18, F10-18G, LMF10UU
R2200\t4\tRNA2200XLL/3AS, RNA2200LL/3AS, RNA2200-2RS, RNA2200-2RS-X
U315\t4\tNU315M, NU315, NU315-E-XL-JP3-C3
UP2205\t4\tNUP2205M, NUP2205, NUP2205ETN
H903210\t4\t4T-HM903249/HM903210, HM903245/HM903210, 4T-HM903248/HM903210, HM903249/HM903210
R4906\t4\tRNA4906L/3AS, RNA4906LL/3AS, RNA4906, RNA4906-2RS
H913810\t4\tH913843/H913810, H913849/H913810, H913840/H913810, H913842/H913810
