Total unknown suffix patterns: 2748
Modification types in DB: 153
Precision classes in DB: 12

3S\t223\tKR16FXLL/3AS, HMK2218L/3AS, KRV16FLL/3AS, KRV26FLL/3AS, KRV19FLL/3AS
G4720\t1\t30BG4720-2DLCS25
2DCS25\t1\t30BG4720-2DLCS25
FC0653\t1\t4T-T7FC065STPX3
UVS10\t1\tKUVS10-B
R4912\t1\tRNA4912
30305D\t1\tH-E30305DJ
R22F\t1\tKR22FX
H1812F\t1\tHK1812FM
S691\t1\tS691XZZ
PP0508\t1\tPAP0508
PP0604\t1\tPAP0604
PP0608\t1\tPAP0608
PP0810\t1\tPAP0810
PP1225\t1\tPAP1225
PP1420\t1\tPAP1420
PP1620\t1\tPAP1620
PP2020\t1\tPAP2020
PP2520\t1\tPAP2520
PP3015\t1\tPAP3015
PP3020\t1\tPAP3020
PP3040\t1\tPAP3040
PP3530\t1\tPAP3530
H1015F\t1\tHK1015F
S645\t1\tSET645-900SA
900S\t1\tSET645-900SA
G55\t1\tGE55ES-2RS
S61800\t1\tS61800-2RSR-HLC
FR9053\t1\tFR90X5X3
S695\t1\tS695ZZ
S685\t1\tS685ZZ
SR115\t1\tSMR115ZZ
S688W6\t1\tS688ZZW6
S6900\t1\tS6900ZZ
S635\t1\tS635ZZ
S627\t1\tS627ZZ
SR117\t1\tSMR117ZZ
S683\t1\tS683
IR3037\t1\tIR30X37,5X16
UP204W\t1\tNUP204W
U321\t1\tNU321
10F\t1\tM12649F/10F
U2222\t1\tNU2222C3
G0510\t1\tEGB0510-E40-Y
RV26F\t1\tKRV26FLL/3AS
U209R\t1\tNU209R
DC2824\t1\tDCL2824
H4520D\t1\tHK4520D
F68\t1\tF682ZZ
F69\t1\tF692ZZ
RV22FH\t1\tKRV22FXLLH/3AS
H24122\t1\tAH24122
H5528\t1\tHK5528
US204\t1\tUS204G2
R132H\t1\tKR13T2LLH/3AS
5022U0\t1\tSL04-5022LLNRU0NZ
HS270°\t1\t6006BHTS270°
DC1816\t1\tDCL1816
UDG\t1\t7015UADG/GNP42U3G
G2U3G\t1\t7015UADG/GNP42U3G
UR35R\t1\tNURT35R
H3034+FS\t1\tH3034+FS
S1242HP2\t1\tBSN1242DDUHP2B
R4834\t1\tRNA4834
H813849\t1\t4T-HM813849/HM813810
UC13\t1\tUCX13
2R\t1\tNUCF30-2RAB
UCG\t1\t7910UCG/GNP4
H24138\t1\tAH24138
H26D\t1\tHK3026D
H415647\t1\t4T-JH415647/JH415610
H415610\t1\t4T-JH415647/JH415610
U410G1\t1\tNU410G1
UP210U\t1\tNUP210U
UP23082U\t1\tNUP2308ET2U
R19F\t1\tKR19FLL/3AS
R104\t1\tMR104BJZZMC3E
R126\t1\tMR126JZZMC3
16**\t1\t6202-16MZZC3E**
UC11\t1\tUCX11D1
D0891CS32P2\t1\tDE0891LLCS32PX2/5A
D3873W\t1\tDAC3873W-2CS71
2CS71\t1\tDAC3873W-2CS71
R320\t1\t10R320/32C
32C\t1\t10R320/32C
YSR\t1\t61225-29YSR
U208G1\t1\tNU208EG1
SD30374\t1\tSD30X37X4-A
W6201\t1\tW6201-2RS1
SC0419CS30P1\t1\tSC04B19CS30PX1/3ASQHK
H81649\t1\tHM81649-99401
C12250\t1\tEC12250
G40250S01\t1\tGB40250S01
G40492S01\t1\tXGB40492S01
R3585\t1\tZARN3585
C12890S01H206\t1\tEC12890S01H206
10G\t1\tF4-10G
PP2425\t1\tPAP2425-P10
F4010\t1\tJF4049/JF4010
H913843\t1\tH913843/H913810
WC\t1\tB15-69T12DDWNCXCM
0681P1V1\t1\t6TS2-SX06B81LLUANPX1V1
RS15R\t1\tRNAST15R
DG357226W2\t1\tDG357226W2RSC4
P161820\t1\tPCM161820E
G07S51G\t1\t45BG07S5A1G-2DLCS
H95\t1\t805190H95AA
S192305\t1\tSL192305
S192306\t1\tSL192306
S192317\t1\tSL192317
18G\t1\tF10-18G
G3*W\t1\tB15-86AT1XDDG3*W-G01
SC0461CS24P2\t1\tSC0461CS24PX2/3AS
G12132S02\t1\tGB12132S02
G35012\t1\tGB35012
G40997P\t1\tGB40997P
F85\t1\tMF85
U0901\t1\tAU0901-4LXL/L260
H206\t1\tEC40847H206
R5303\t1\tLR5303-2HRS-TVH-XL
R5305\t1\tLR5305-2HRS-TVH-XL
SR83\t1\tSMR83ZZ
SR84\t1\tSMR84ZZ
SR8\t1\tSR8-2Z
CFS3\t1\tCFS3A
CFS4\t1\tCFS4A
IR253017\t1\tIR253017
IR324020\t1\tIR324020
R6918\t1\tRNA6918
RS10R\t1\tRNAST10R
RS5R\t1\tRNAST5R
RS6R\t1\tRNAST6R
RS8R\t1\tRNAST8R
R2120P\t1\t16R2120AP
G802\t1\t35TAG802
D28582RCS47\t1\tDAC28582RKCS47
D3562\t1\tDAC3562AW-1CS35
1CS35\t1\tDAC3562AW-1CS35
D3568W\t1\tDAC3568W-6CS81
6CS81\t1\tDAC3568W-6CS81
D3577W\t1\tDAC3577W-3CS80
3CS80\t1\tDAC3577W-3CS80
D3580W4CS0\t1\tDAC3580WHR4CS0
D3668CS36\t1\tDAC3668AWCS36
D3871W\t1\tDAC3871W-2CS70
2CS70\t1\tDAC3871W-2CS70
D3872S42\t1\tDAC3872ACS42
10CS42\t1\tDAC3872W-10CS42
8CS81\t1\tDAC3872W-8CS81
D407043WCS83\t1\tDAC407043WCS83
D40801CS68\t1\tDAC4080M1CS68
D4382W\t1\tDAC4382W-3CS79
3CS79\t1\tDAC4382W-3CS79
DF1015D\t1\tDACF1015D
D256SH2\t1\tDG2256SH2C3
D6522RR1H+SV\t1\tDG26522RR1H+SV
D85282RR1H+SV1\t1\tDG2852B82RR1H+SV1
DG30552RDCS28+SV\t1\tDG30552RD1DCS28+SV
DG306725W\t1\tDG306725W-2RSC4
DG35804\t1\tDG3580AC4
DG358021WY4\t1\tDG358021WYAC4
DG358026WR\t1\tDG358026WRKBC4
H788R\t1\tHC2788R/20
H1594\t1\tHC31594/20
PU108231RR1HW\t1\tPU108231RR1HW
RS18\t1\tRMS18
RS7\t1\tRMS7
S0347\t1\tSAC0347
G05S5G\t1\t30BG05S5G-2DS-JCS
GG\t1\t40BGS11G-2DS
SC01\t1\t18BSC01
SW06\t1\t18BSW06
28D0160**\t1\tZA-28BWD01ACA60**
W01G5\t1\t31KW01G5
112C1\t1\t32BD45-A-1T12DDUCG21
D522013C01\t1\t35BD5220AT1XDDUM3C01
354C62**\t1\tZA-35BWD14CA62**
32D05C105**\t1\tZA-32BWD05CA105**
D21912C1\t1\t40BD219T12DDUCG21
D4912CG33\t1\t40BD49T12DDUCG33
R657528\t1\t1R65X75X28
4V1\t1\t2AH07-11/4V1
P1308CS80#C\t1\t2P1308CS80#CA
620404CS22\t1\t2TS2-3A-6202X40T2X4CS22-4
0210CS29\t1\t2TS2-3A-SX02A10CS29
0393CS29\t1\t2TS2-3A-SX0393CS29
SC047CS40\t1\t3TM-SC04C27CS40
0468P1\t1\t4T-CR-0468PX1
H715347\t1\t4T-H715347/H715311
H515745\t1\t4T-HM515745/HM515716
H515716\t1\t4T-HM515745/HM515716
S284017\t1\t7E-BKS28X40X17-2
HS15820619\t1\t7E-HKS158X206X19-1
S6009\t1\tS6009-2RS
U0609\t1\tAU0609-2L/L588
SC1168\t1\tCAT-SC1168C3
DF0679P1\t1\tDF0679PX1
0362P1\t1\tEC0-CR-0362PX1
SC0737CS25P1\t1\tEC1-SC07B37CS25PX1
303S28\t1\tEC-TMB303LLUACS28/4M
S687\t1\tS687ZZ
G30374\t1\tG30X37X4
H04082\t1\tHK0408T2
H06092\t1\tHK0609T2
H0810C\t1\tHK0810C
H1214\t1\tHK1214L/3AS
H162WD\t1\tHK1622ZWD
H2020C\t1\tHK2020C
H2030WD\t1\tHK2030ZWD
H2216C\t1\tHK2216C
H2538WD\t1\tHK2538ZWD
H16V3\t1\tHK3016V3
H38WD\t1\tHK3038ZWD
HS36562\t1\tHKS3X65X6T2
P2313183\t1\tHL-PK22X31X318X3
H2025C\t1\tHMK2025C
H2420C\t1\tHMK2420C
P1V3\t1\tK75X83X23PX1V3
H1630\t1\tKH1630LL/3AS
H2540\t1\tKH2540LL/3AS
V6573296S\t1\tKV65X73X296XS
R7H\t1\tNUKR72XH/3AS
UR205\t1\tNUTR205/3AS
UR302\t1\tNUTR302/3AS
PC243024\t1\tPCJ243024
P23816\t1\tPCJ323816
P22285317\t1\tPK222X285X317X
P26331482\t1\tPK26X33X148X2
P285381275\t1\tPK285X381X275X
P2836138\t1\tPK28X36X138X
S07251\t1\tSBX07A25LLMC3Q1
SC0228\t1\tSC0228LLU/3E
SC0284\t1\tSC0284
SC0512\t1\tSC05A12
SC0675P1V1\t1\tSC0675PX1V1
SC617\t1\tSC6A17ZZNR/1K
D68\t1\tSX07D68LLUC4/3AS
CS28\t1\tTMB007CS28
15V69\t1\tTMB303LLV-G/15V69
DF0574C\t1\tTM-DF0574NCS11
SC0349U1CS28\t1\tTM-SC0349LUALA1CS28/L325
SC0351CS15\t1\tTM-SC0351CS15
SC0357U\t1\tTM-SC0357LUAC3
SC0788CS40P1\t1\tTM-SC0788NRCS40PX1
P144204986\t1\tTS2-PK144X204X98X6
UC06\t1\tUCX06D1
UC07\t1\tUCX07D1
UC08\t1\tUCX08D1
H636035\t1\tBAHB636035A
F226\t1\t10Q62302F226A
F386\t1\t10Q630/22AF386
C12162\t1\tEC12162
C12461\t1\tEC12461
C12531\t1\tEC12531
C12725H206\t1\tEC12725H206
C12771\t1\tEC12771
C12917\t1\tEC12917
FC12033S01\t1\tFC12033S01
FC12180S04\t1\tFC12180S04
F0784S01\t1\tFC40784S01
G10827S02\t1\tGB10827S02
G10865S01\t1\tGB10865S01
G10890S01\t1\tGB10890S01
G12021\t1\tGB12021
G40279S01\t1\tGB40279S01
G40549\t1\tGB40549
S1055\t1\tSET1055
P027538\t1\tNP027538-90401
P702249\t1\tNP702249-90401
P787790\t1\tNP787790-90KA1
U298\t1\tU298-90011
D357233\t1\tDAC357233B-1WCS79
1WCS79\t1\tDAC357233B-1WCS79
D357245CW\t1\tDAC357245CW-2RS
D358047\t1\tDAC358047BW2RS
3CS35\t1\tDAC4072W-3CS35
D4074CWCS73\t1\tDAC4074CWCS73
D407641CS42\t1\tDAC4076412RSCS42
D4484CW2CS76\t1\tDAC4484CW2RSCS76
D4502R+SV\t1\tDG2450B2RKD1+SV
D550\t1\tDG2550B-32RR1D
32RR1D\t1\tDG2550B-32RR1D
DG30552RDCS28+V1\t1\tDG30552RD1DCS28+V1
DG30552RDCS28+V2\t1\tDG30552RD1DCS28+V2
DG30602RCS28+\t1\tDG3060B2RKD1CS28+Z
S3384\t1\tS3384/20YR
20YR\t1\tS3384/20YR
CU442822\t1\tCBU442822
CP25590\t1\tHI-CAP25590/23
0068D\t1\tBAH-0068D
G40550S03\t1\tXGB40550S03
G41140R00\t1\tXGB41140R00
G41166S01\t1\tXGB41166S01
C18437C\t1\tJXC18437CA-90KA1
40D06D\t1\tZA-40BWD06D-JB-5CA01
CU543625\t1\tCBU543625J
PF151709\t1\tPCMF151709E
PWU\t1\t7416PWBRSU
R5000\t1\tLR5000-2RS
G9\t1\tGE19ZO
G34\t1\tGE34ZO
SS205\t1\tASS205N
H05092\t1\tHK0509T2
R5002\t1\tLR5002-2RS
R5003\t1\tLR5003-2RS
R5004\t1\tLR5004-2RS
R5006\t1\tLR5006-2RS
R5007\t1\tLR5007-2RS
W10\t1\tAXW10
W17\t1\tAXW17
HC603049\t1\tHCLM603049/11
H2204R\t1\tHC32204R
H2305\t1\tHC32305JR
H0303D\t1\tHC30303D
H2303\t1\tHC32303
H0302\t1\tHC30302JR
SC205\t1\tSCO205-25
U4904\t1\tNAU4904UU
9CS39\t1\t83B569AASH2-9TCS39
SC0531CS37\t1\t3TM-SC05B31CS37
SC0447CS29P1\t1\tSC04A47CS29PX1
F212916\t1\tTAF212916
F739035\t1\tTAF739035
F91616\t1\tTAF91616
WS140180\t1\tWS140180
H0209\t1\tHC30209JR
CU442829\t1\tCBU442829
H3108\t1\tHC33108JR-1
CD3\t1\t3307CD3
H1412V2\t1\tHK1412V2
DG3572W\t1\tDG3572W-1SH2C4
1SH2\t1\tDG3572W-1SH2C4
D3874W\t1\tDAC3874W-6CS84
6CS84\t1\tDAC3874W-6CS84
P144863\t1\tNP144863-99401
P113979\t1\tNP113979-90401
R253020\t1\t1R25X30X20
P218242\t1\tNP218242-99401
G69\t1\tGE69ZO-2RS
G76\t1\tGE76ZO-2RS
G88\t1\tGE88ZO-2RS
UR210\t1\tNUTR210/3AS
YY2\t1\t5203KYY2
S1R\t1\tNAST12ZZR
RS6\t1\tRMS6
G41166S01P\t1\tXGB41166S01P
RS9\t1\tRMS9
H106\t1\tEC41053H106
R7\t1\tRLS7
UR204\t1\tNUTR204X/3AS
H3040\t1\tAH3040
H2314\t1\tAHX2314
U1015G1\t1\tNU1015G1
U334\t1\tNU334
UP212\t1\tNUP212ETN
UP2212U\t1\tNUP2212U
UP2306\t1\tNUP2306ETN
H03062\t1\tHK0306T2
H1616D\t1\tHK1616D
H1720C\t1\tHMK1720C
H1816D\t1\tHK1816D
H2216D\t1\tHK2216D
H2220D\t1\tHK2220D
H2516D\t1\tHK2516D
H2816C\t1\tHK2816C
S28R\t1\tNKS28R
R4900R\t1\tRNA4900R
R4901R\t1\tRNA4901R
R4902R\t1\tRNA4902R
R4903R\t1\tRNA4903R
R4905R\t1\tRNA4905R
R4906R\t1\tRNA4906R
R4907R\t1\tRNA4907R
R4908R\t1\tRNA4908R
R4909R\t1\tRNA4909R
R4910R\t1\tRNA4910R
R4911R\t1\tRNA4911R
R4912R\t1\tRNA4912R
R4913R\t1\tRNA4913R
R4914R\t1\tRNA4914R
R4916R\t1\tRNA4916R
R6901R\t1\tRNA6901R
R6902R\t1\tRNA6902R
R6903R\t1\tRNA6903R
22R\t1\tRNA69/22R
R6907R\t1\tRNA6907R
R6909R\t1\tRNA6909R
R6910R\t1\tRNA6910R
R6914R\t1\tRNA6914R
+1R5812\t1\tNK8/12T2+1R5X8X12
+1R6912\t1\tNK9/12T2+1R6X9X12
+1R6916\t1\tNK9/16T2+1R6X9X16
+1R9112\t1\tNK12/12+1R9X12X12
R+1R101416\t1\tNK14/16R+1R10X14X16
R+1R101420\t1\tNK14/20R+1R10X14X20
R+1R11616\t1\tNK16/16R+1R12X16X16
R+1R11620\t1\tNK16/20R+1R12X16X20
R+1R151916\t1\tNK19/16R+1R15X19X16
R+1R151920\t1\tNK19/20R+1R15X19X20
R+1R172116\t1\tNK21/16R+1R17X21X16
R+1R172120\t1\tNK21/20R+1R17X21X20
R+1R202416\t1\tNK24/16R+1R20X24X16
R+1R202420\t1\tNK24/20R+1R20X24X20
R+1R22616\t1\tNK26/16R+1R22X26X16
R+1R22620\t1\tNK26/20R+1R22X26X20
R+1R252920\t1\tNK29/20R+1R25X29X20
R+1R28320\t1\tNK32/20R+1R28X32X20
R+1R28330\t1\tNK32/30R+1R28X32X30
R+1R303530\t1\tNK35/30R+1R30X35X30
R+1R33720\t1\tNK37/20R+1R32X37X20
R+1R354020\t1\tNK40/20R+1R35X40X20
R+1R384320\t1\tNK43/20R+1R38X43X20
R+1R384330\t1\tNK43/30R+1R38X43X30
R+1R44720\t1\tNK47/20R+1R42X47X20
R+1R44730\t1\tNK47/30R+1R42X47X30
R+1R556035\t1\tNK60/35R+1R55X60X35
R+1R606835\t1\tNK68/35R+1R60X68X35
R+1R657325\t1\tNK73/25R+1R65X73X25
R+1R657335\t1\tNK73/35R+1R65X73X35
R+1R758525\t1\tNK85/25R+1R75X85X25
R+1R758535\t1\tNK85/35R+1R75X85X35
R+1R809035\t1\tNK90/35R+1R80X90X35
R+1R9010026\t1\tNK100/26R+1R90X100X26
R+1R9510526\t1\tNK105/26R+1R95X105X26
R+1R9510536\t1\tNK105/36R+1R95X105X36
R5812\t1\t1R5X8X12
R5816\t1\t1R5X8X16
R6912\t1\t1R6X9X12
R71012\t1\t1R7X10X12
R8110.5\t1\t1R8X12X10.5
R9116\t1\t1R9X12X16
R1013125\t1\t1R10X13X125
R101412\t1\t1R10X14X12
R101413\t1\t1R10X14X13
R101420\t1\t1R10X14X20
R11512.5\t1\t1R12X15X12.5
R11516\t1\t1R12X15X16
R115165\t1\t1R12X15X165
R115225\t1\t1R12X15X225
R11612\t1\t1R12X16X12
R11613\t1\t1R12X16X13
R11622\t1\t1R12X16X22
R141717\t1\t1R14X17X17
R151816\t1\t1R15X18X16
R152023\t1\t1R15X20X23
R172016\t1\t1R17X20X16
R172120\t1\t1R17X21X20
R17213\t1\t1R17X22X13
R17216\t1\t1R17X22X16
R172420\t1\t1R17X24X20
R202416\t1\t1R20X24X16
R202420\t1\t1R20X24X20
R202520\t1\t1R20X25X20
R202526.5\t1\t1R20X25X26.5
IR202538.5\t1\tIR20X25X38.5
R202820\t1\t1R20X28X20
R22616\t1\t1R22X26X16
R22620\t1\t1R22X26X20
R22817\t1\t1R22X28X17
R22820\t1\t1R22X28X20
R253012.5\t1\t1R25X30X12.5
R253016\t1\t1R25X30X16
R253026.5\t1\t1R25X30X26.5
R253032\t1\t1R25X30X32
R253038.5\t1\t1R25X30X38.5
R28320\t1\t1R28X32X20
R28330\t1\t1R28X32X30
R29313\t1\t1R29X32X13
R303513\t1\t1R30X35X13
R303517\t1\t1R30X35X17
R303520\t1\t1R30X35X20
R303520.5\t1\t1R30X35X20.5
R303530\t1\t1R30X35X30
R303722\t1\t1R30X37X22
R33730\t1\t1R32X37X30
R34036\t1\t1R32X40X36
R354016.5\t1\t1R35X40X16.5
R354020\t1\t1R35X40X20
R354020.5\t1\t1R35X40X20.5
R35420\t1\t1R35X42X20
R35436\t1\t1R35X42X36
R354322\t1\t1R35X43X22
R384320\t1\t1R38X43X20
R384330\t1\t1R38X43X30
R404517\t1\t1R40X45X17
R404530\t1\t1R40X45X30
R404822\t1\t1R40X48X22
R405020\t1\t1R40X50X20
R405022\t1\t1R40X50X22
R44720\t1\t1R42X47X20
R44730\t1\t1R42X47X30
R455020\t1\t1R45X50X20
R45522\t1\t1R45X52X22
R45540\t1\t1R45X52X40
R455540\t1\t1R45X55X40
R505525\t1\t1R50X55X25
R505535\t1\t1R50X55X35
R505822\t1\t1R50X58X22
R556025\t1\t1R55X60X25
R556035\t1\t1R55X60X35
R556345\t1\t1R55X63X45
R556528\t1\t1R55X65X28
R65725\t1\t1R65X72X25
R657325\t1\t1R65X73X25
R758525\t1\t1R75X85X25
R9010026\t1\t1R90X100X26
R9510526\t1\t1R95X105X26
R9510536\t1\t1R95X105X36
R9511035\t1\t1R95X110X35
R10011040\t1\t1R100X110X40
R10011540\t1\t1R100X115X40
R252\t1\tNKXR25T2
R302\t1\tNKXR30T2
R402\t1\tNKXR40T2
WS81101\t1\tWS81101
WS81117\t1\tWS81117
R2203\t1\tRNA2203XLL/3AS
RV5\t1\tKRV52XLL/3AS
CS310\t1\tCS310LLU
GS81207\t1\tGS81207
GS81211\t1\tGS81211
GS81212\t1\tGS81212
H1712F\t1\tHK1712FM
RV30H\t1\tKRV30XLLH/3AS
RV3H\t1\tKRV32XLLH/3AS
RV72H\t1\tKRV72LLH/3AS
R26H\t1\tKR26XLLH/3AS
R3H\t1\tKR32XH
R40H\t1\tKR40H
R52H\t1\tKR52H
R90H\t1\tKR90XLLH/3AS
+1R71012\t1\tNK10/12T2+1R7X10X12
R+1R951#01\t1\tNK105/26R+1R95X1#01
R5H\t1\tNUKR52XH/3AS
UP213\t1\tNUP213EW
UP215U\t1\tNUP215U
UP2306U\t1\tNUP2306ET2XU
UR209\t1\tNUTR209/3AS
R1212\t1\tRNAO12X22X12
R2206\t1\tRNA2206LL/3AS
R2207\t1\tRNA2207LL/3AS
R4926\t1\tRNA4926
SC0390CS24P1\t1\tSC0390CS24PX1/3AS
UCS206\t1\tUCS206LD1NR
UCS208\t1\tUCS208LD1NR
R152026\t1\t1R15X20X26
R172116\t1\t1R17X21X16
R17220.5\t1\t1R17X22X20.5
R17226\t1\t1R17X22X26
R35421D\t1\t1R35X42X21D
R556334\t1\t1R55X63X34
R61010\t1\t1R6X10X10
R7116\t1\t1R7X12X16
HS131911.#07\t1\t10E-HKS13X19X11.#07
H81#01\t1\tHM813846/HM81#01
H90#09\t1\tHM903245/HM90#09
H88540\t1\t4T-JHM88540/JHM88513PX1
H88513P1\t1\t4T-JHM88540/JHM88513PX1
#03\t1\t4T-LM522549/LM52#03
V53\t1\t6000ZV53
S6207\t1\tS6207-2RS
3043W\t1\tRNA0-30X42X32ZW
45640W\t1\tRNA0-45X62X40ZW
CS2012\t1\tNCS2012
CS2416\t1\tNCS2416
PU106018R1DW\t1\tPU106018JRR1DW
UP209U\t1\tNUP209EAT2XU
SW05\t1\t19BSW05A
SW01\t1\t20BSW01
SS206\t1\tASS206N
RV22C\t1\tKRV22CLL/3AS
H2512F\t1\tHK2512F
RV47H\t1\tKRV47XLLH/3AS
UP2204U\t1\tNUP2204ET2XU
R303820\t1\t1R30X38X20
DF0863#01\t1\t2TS2-DF0863LLACS#01
RV35H\t1\tKRV35LLH/3AS
DF086356\t1\t2TS2-DF0863LLACS56/5C
UCS210\t1\tUCS210LD1NR
R32H\t1\tKR32LLH/3AS
C202\t1\tCES202
D4889W2CS94\t1\tDAC4889W2RSCS94
GS81209\t1\tGS81209
H20D\t1\tHK3020D
UP205U\t1\tNUP205ET2XU
UR206\t1\tNUTR206X/3AS
C62CS44\t1\t3TM-SX06C62CS44
H911244\t1\tHM911244/HM911216
H911216\t1\tHM911244/HM911216
H715332\t1\tH715332/H715311
H715336\t1\tH715336/H715311
H715340\t1\tH715340/H715311
H924033\t1\tH924033/H924010
H924010\t1\tH924033/H924010
H204043\t1\tHM204043/HM204010
H813841\t1\tHM813841/HM813810
F10053\t1\tF10053
F19009\t1\tF19009
F19029\t1\tF19029
F19037\t1\tF19037
F19044\t1\tF19044
F10049\t1\tJF10049/JF10010
F10010\t1\tJF10049/JF10010
H218238\t1\tHM218238/HM218210
H8#01\t1\t4T-HM801346X/HM8#01
CS307\t1\tCS307LLU
28R\t1\tRNA69/28R
R11614D\t1\t1R12X16X14D
S06831\t1\tSBX06A83LLSC3Q1
R62H\t1\tKR62H
P142011.82\t1\tPK14X20X11.8X2
R4840\t1\tRNA4840
UR309\t1\tNUTR309/3AS
V4\t1\tK20X28X25V4
R6918R\t1\tRNA6918R
HC1280\t1\tHC1280/20
H1225\t1\tHMK1225
H1420C\t1\tHMK1420C
H1916\t1\tHMK1916
H2210\t1\tHMK2210
H2510\t1\tHMK2510
H2920\t1\tHMK2920
H15\t1\tHMK3015
H3530\t1\tHMK3530
DC442\t1\tDCL44T2
DC452\t1\tDCL45T2
DC472\t1\tDCL47T2
DC55\t1\tDCL55
DC65\t1\tDCL65
DC66\t1\tDCL66
DC85\t1\tDCL85
V3330\t1\t22214VKB33J30
F58551\t1\tF58551
G13193\t1\tG13X19X3-B
H208105\t1\tH208X105
H209107\t1\tH209X107
H210111\t1\tH210X111
H210112\t1\tH210X112
H211115\t1\tH211X115
H211200\t1\tH211X200
H213203\t1\tH213X203
H213204\t1\tH213X204
FHD\t1\tK22X26X13FHD
7FV1.W\t1\tK80X88X45,7FV1.ZW
H14\t1\tKH14-P
RV90\t1\tKRV90-X-PP-A
RS14\t1\tRMS14
RS15\t1\tRMS15
RS32\t1\tRMS32
SC016\t1\tSCE2016
F71412\t1\tTAF71412
Y1012\t1\tYB1012
P101210\t1\tPCM101210B
+1R5816\t1\tNK8/16+1R5X8X16
D02CG53**S**\t1\t36DSF02CG53**SA**
R1015155\t1\t1R10X15X155
R13015067\t1\t1R130X150X67
R152018\t1\t1R15X20X18
R17218\t1\t1R17X22X18
R202428.5\t1\t1R20X24X28.5
R202512.5\t1\t1R20X25X12.5
R253018D\t1\t1R25X30X18D
R253023\t1\t1R25X30X23
R303718\t1\t1R30X37X18
R33832\t1\t1R32X38X32
R354012.5\t1\t1R35X40X12.5
R404823D\t1\t1R40X48X23D
R505540\t1\t1R50X55X40
R505823D\t1\t1R50X58X23D
R6810\t1\t1R6X8X10
R759032\t1\t1R75X90X32
R9010532\t1\t1R90X105X32
H3230\t1\t7E-HMK3230
DC1616\t1\tDCL1616
D216\t1\tDCL3216
H0910C\t1\tHK0910C
us\t1\t6203BHTSZZ350 Beco Plus
H807048\t1\tHM807048/HM807010
H0812\t1\tHMK0812L/3AS
H1014\t1\tHMK1014LL/3AS
H1515C\t1\tHMK1515C
H1525V3\t1\tHMK1525V3
H211749\t1\t4T-JH211749/JH211710PK
H211710P\t1\t4T-JH211749/JH211710PK
R72H\t1\tKR72H
RV12H\t1\tKRV12LLH/3AS
RV52H\t1\tKRV52H/3AS
S65\t1\tNKS65
202826W\t1\tRNA0-20X28X26ZW
405540W\t1\tRNA0-40X55X40ZW
R2205\t1\tRNA2205XLL/3AS
S6301\t1\tS6301-2RS
S6304FD\t1\tS6304EEFD
RS20\t1\tRMS20
H803148\t1\tJHM803148/JHM803113B
H803113\t1\tJHM803148/JHM803113B
U360\t1\tU399/U360L
SR203\t1\tSRBB203
CR204\t1\tCESR204A
DH14182\t1\tDH14X18X2,5
DH14203\t1\tDH14X20X3
DH1423\t1\tDH14X22X3
DH17233\t1\tDH17X23X3
DH17253\t1\tDH17X25X3
DH18264\t1\tDH18X26X4
DH20284\t1\tDH20X28X4
DH25312\t1\tDH25X31X2,5
DH2534\t1\tDH25X32X4
DH28354\t1\tDH28X35X4
DH30362\t1\tDH30X36X2,5
DH30374\t1\tDH30X37X4
DH344\t1\tDH32X42X4
DH40474\t1\tDH40X47X4
DH4055\t1\tDH40X52X5
DH8153\t1\tDH8X15X3
D1712\t1\tDL1712
D2016\t1\tDL2016
D2820\t1\tDL2820
H5011\t1\tHK5012AS1
FCH\t1\tK52X57X17FCH
RV16D\t1\tKRV16DZ
R19CD\t1\tKR19CDZ
RV19D\t1\tKRV19DZ
S15D\t1\tSTO15DZ
R22D\t1\tKR22BDZ
S17D\t1\tSTO17DZ
R26D\t1\tKR26BDZ
RV30D\t1\tKRV30DZ
R32C\t1\tKR32C
R30CD\t1\tKR30CDZ-2RS
S35D\t1\tSTO35ZZDZ
FV\t1\tK18X22X14FV
RV22D\t1\tKRV22DZ-2RS
U2102\t1\tNU210ETVP2
UP2032\t1\tNUP203ETVP2
G05S7G\t1\t35BG05S7G-2DLCS
H3136\t1\tH3136
G40706R00\t1\tGB40706R00
H579R\t1\tHC3579R/25
D40\t1\t30BD40
DH19274\t1\tDH19X27X4
R202517\t1\tLRT202517
R6003\t1\tLR6003-2RSR-HLC
D2216\t1\tDL2216
FIRVH98\t1\tK10X14X10FKIRVH98
U497\t1\tU497-904A3
F683H\t1\tF683HZZ
356C\t1\tZA-/HO/35BWD16C-01
CG32**\t1\t40BW03CG32**
WD05U42S**\t1\t45KWD05AU42SA**
10CS74\t1\tDAC4072W-10CS74
IR172218\t1\tIR172218
IR172232\t1\tIR172232
S10R\t1\tNAST10R
S6R\t1\tNAST6R
CS208\t1\tCS208LLU
G1\t1\tNJ224EG1
SC0833CS12P1\t1\tTM-SC08A33CS12PX1
F15082\t1\tF15082
F15083\t1\tF15083
F15109\t1\tF15109
F15114\t1\tF15114
F19011\t1\tF19011
F19015\t1\tF19015
F19020\t1\tF19020
F19042\t1\tF19042
UCS203\t1\tUCS203LNR
G35270\t1\tGB35270
S6903\t1\tS6903ZZ
H1715C\t1\t7E-HMK1715CT
S6907\t1\tS6907ZZ
W11\t1\t608-2RSW11
RC+1R44720\t1\tNK47/20RCT+1R42X47X20
UC20\t1\tUCX20D1
U307R\t1\tNU307R
U308R\t1\tNU308R
S6007\t1\tS6007-2RS
